Type product;Brand;Model;Min price;Max price;Num offers;URL
Televisor;LG;55NANO79;10 665;14 990 Kč;v 22 obchodech;https://televize.heureka.cz/lg-55nano79/
Televisor;Samsung;UE50TU8502;11 219;15 990 Kč;v 15 obchodech;https://televize.heureka.cz/samsung-ue50tu8502/
Televisor;Samsung;QE65Q64T;20 888;27 092 Kč;v 37 obchodech;https://televize.heureka.cz/samsung-qe65q64t/
Televisor;Samsung;UE55TU7092;11 379;13 644 Kč;v 75 obchodech;https://televize.heureka.cz/samsung-ue55tu7092/
Televisor;Samsung;QE65Q80T;29 697;39 990 Kč;v 15 obchodech;https://televize.heureka.cz/samsung-qe65q80t/
Televisor;Samsung;UE32T4302;5 627;7 029 Kč;v 28 obchodech;https://televize.heureka.cz/samsung-ue32t4302/
Televisor;LG;43NANO79;9 848;13 703 Kč;v 7 obchodech;https://televize.heureka.cz/lg-43nano79/
Televisor;LG;55NANO86;13 756;27 990 Kč;v 9 obchodech;https://televize.heureka.cz/lg-55nano86/
Televisor;LG;43UN7400;8 850;11 294 Kč;v 22 obchodech;https://televize.heureka.cz/lg-43un7400/
Televisor;LG;49NANO86;14 990;19 990 Kč;v 12 obchodech;https://televize.heureka.cz/lg-49nano86/
Televisor;Philips;50PUS8505;12 521;32 789 Kč;v 34 obchodech;https://televize.heureka.cz/philips-50pus8505/
Televisor;LG;OLED65BX3LB;35 190;41 246 Kč;v 27 obchodech;https://televize.heureka.cz/lg-oled65bx3lb/
Televisor;LG;65NANO79;14 490;18 288 Kč;v 14 obchodech;https://televize.heureka.cz/lg-65nano79/
Televisor;LG;32LM550B;4 195;5 289 Kč;v 21 obchodech;https://televize.heureka.cz/lg-32lm550b/
Televisor;LG;43UN7100;8 990;10 299 Kč;v 7 obchodech;https://televize.heureka.cz/lg-43un7100/
Televisor;Sencor;SPV;2 790;3 490 Kč;v 48 obchodech;https://televize.heureka.cz/sencor-spv-7012t/
Televisor;Samsung;UE50TU7092;10 251;11 475 Kč;v 46 obchodech;https://televize.heureka.cz/samsung-ue50tu7092/
Televisor;LG;55NANO91;19 990;35 990 Kč;ve 2 obchodech;https://televize.heureka.cz/lg-55nano91/
Televisor;LG;60UN7100;11 990;12 990 Kč;v 5 obchodech;https://televize.heureka.cz/lg-60un7100/
Televisor;Philips;43PUS8505;11 760;18 990 Kč;v 32 obchodech;https://televize.heureka.cz/philips-43pus8505/
Televisor;LG;32LM6300;6 890;7 999 Kč;v 18 obchodech;https://televize.heureka.cz/lg-32lm6300/
Televisor;Sencor;SLE;3 569;5 490 Kč;v 17 obchodech;https://televize.heureka.cz/sencor-sle-3260t/
Televisor;Samsung;UE55TU8072;12 099;16 990 Kč;v 38 obchodech;https://televize.heureka.cz/samsung-ue55tu8072/
Televisor;LG;65UN7100;13 490;18 951 Kč;v 20 obchodech;https://televize.heureka.cz/lg-65un7100/
Televisor;LG;65NANO91;24 990;49 990 Kč;v 9 obchodech;https://televize.heureka.cz/lg-65nano91/
Televisor;Samsung;QE65Q70T;24 496;28 440 Kč;v 18 obchodech;https://televize.heureka.cz/samsung-qe65q70t/
Televisor;Samsung;UE43TU8072;9 977;12 453 Kč;v 20 obchodech;https://televize.heureka.cz/samsung-ue43tu8072/
Televisor;LG;65NANO90;25 990;35 990 Kč;ve 2 obchodech;https://televize.heureka.cz/lg-65nano90/
Televisor;LG;50NANO793NE;9 890;11 980 Kč;v 12 obchodech;https://televize.heureka.cz/lg-50nano793ne/
Televisor;Samsung;UE65TU7092UXXH;14 947;18 145 Kč;v 59 obchodech;https://televize.heureka.cz/samsung-ue65tu7092uxxh/
